"musician","album","label","edit","crow","core","thou"
"Compilation","Hot British Dance Bands","Timeless",1,"No","No","No"
"Compilation","Metronome All Star Bands","RCA",1,"No","No","No"
"Compilation","Americans Paris V2 31-40","EMI",1,"No","No","No"
"Compilation","Jazz Live&Rare: 1&2 Esquire","Jazzline",1,"No","No","No"
"Compilation","Esquire's American Hot","Bluebird",1,"No","No","No"
"Compilation","Confirmation","Spotlite",1,"No","No","No"
"Compilation","Document: The '80's","Leo",1,"No","No","No"
"Compilation","Conspiracy: Soviet JF 1989","Leo",1,"No","No","No"
"Compilation","Women: Classic Female","Bluebird",1,"No","No","No"
"Condon, Eddie","Dixieland All-Stars","MCA",2,"No","No","No"
"Condon, Eddie","EC 27-38","Classics",3,"No","Yes","Yes"
"Condon, Eddie","EC 38-40","Classics",3,"No","No","No"
"Condon, Eddie","Town Hall Concerts 3 & 7","Jazzology",2,"No","No","No"
"Condon, Eddie","Bixieland/Treasury","Collectables",7,"No","No","No"
"Condon, Eddie","Midnight In Moscow","Collectables",9,"No","No","No"
"Conference Call","Variations On A Master Plan","Leo",9,"No","No","No"
"Connor, Chris","Gershwin Almanac Of Song","Atlantic",1,"No","No","No"
"Connor, Chris","Warm Cool","32 Jazz",5,"No","No","No"
"Connor, Chris","CC","Atlantic",7,"No","Yes","Yes"
"Contraband","Pale Fire","BVHaast",6,"No","No","No"
"Coon, Jackie","Joys of New Orleans","Arbors",8,"No","No","No"
"Cooper, Lindsay","Oh Moscow","Victo",1,"No","No","No"
"Copland, Marc","Second Look","Savoy",5,"No","No","No"
"Copland, Marc","Haunted Heart","Hat Art",9,"No","No","No"
"Copland, Marc","Time Within Time","Hat Art",9,"No","No","No"
"Copland, Marc","Poetic Motion","Sketch",9,"No","No","No"
"Copland, Marc","No Choice","Minium",9,"No","No","No"
"Corbett, Jon","Another Fine Mess","Slam",4,"No","No","No"
"Corea, Chick","Song Of Singing","Blue Note",2,"No","No","No"
"Corea, Chick","Complete Is Sessions","Blue Note",7,"No","No","No"
"Corea, Chick","Return To Forever","ECM",2,"No","No","No"
"Corea, Chick","Light As A Feather","Polydor",2,"No","No","Yes"
"Corea, Chick","Music Forever: 64-96","GRP",4,"No","No","No"
"Corea, Chick","Tones For Joan's Bones","Atlantic",5,"No","No","Yes"
"Corea, Chick","Now He Sings, Now He Sobs","Blue Note",5,"No","No","No"
"Corea, Chick","Jazz Masters 3","Verve",5,"No","No","No"
"Corea, Chick","Origin: Live At Blue Note","Stretch",5,"No","No","No"
"Corea, Chick","Rendezvous In NY","Stretch",7,"No","No","Yes"
"Corea, Chick","Ultimate Adventure","Stretch",9,"No","No","No"
"Coryell, Larry","Shining Hour","Muse",2,"No","No","No"
"Coryell, Larry","Restful Mind","Universe",7,"No","No","No"
"Coryell, Larry","Twelve Frets To One Octave","Shanachie",10,"No","No","Yes"
"Cosmosamatics","Three","Boxholder",9,"No","No","No"
"Costa, Johnny","Classic Costa","Chiaroscuro",6,"No","No","No"
"Costa, Johnny","Flying Fingers","Chiaroscuro",9,"No","No","No"
"Coursil, Jacques","Clameurs","Sunnyside",9,"No","No","No"
"Courvoisier, Sylvie","Lonelyville","Intakt",9,"No","No","No"
"Courvoisier, Sylvie","Signs & Epigrams","Tzadik",9,"No","No","No"
"Counce, Curtis","Complete Studio Masters","Gambit",10,"No","No","Yes"
"Cowell, Stanley","Sienna","Steeplechase",1,"No","No","Yes"
"Cowell, Stanley","Close To You Alone","DIW",1,"No","No","No"
"Cowell, Stanley","Hear Me One","Steeplechase",4,"No","No","No"
"Cowell, Stanley","Angel Eyes","Steeplechase",3,"No","No","No"
"Coxhill, Lol","Dunois Solos","Nato",4,"No","No","No"
"Coxhill, Lol","Coxhill On Ogun","Ogun",5,"No","No","Yes"
"Coxhill, Lol","Worms Organizing Archdukes","Emanem",7,"No","No","No"
"Coxhill, Lol","The Story So Far Oh Really","Cuneiform",9,"No","No","No"
"Crawford, Hank","From The Heart","Atlantic",10,"No","No","Yes"
"Crispell, Marilyn","Overlapping Hands","FMP",1,"No","No","No"
"Crispell, Marilyn","Gaia","Leo",1,"No","No","No"
"Crispell, Marilyn","Labyrinths","Victo",7,"No","No","No"
"Crispell, Marilyn","For Coltrane","Leo",2,"No","No","Yes"
"Crispell, Marilyn","Santuerio","Leo",2,"No","No","No"
"Crispell, Marilyn","Stellar Pulsations ()","Leo",2,"No","No","No"
"Crispell, Marilyn","Spring Tour 94","Alice",3,"No","No","No"
"Crispell, Marilyn","Band On The Wall","Matchless",3,"No","No","No"
"Crispell, Marilyn","Woodstock Concert","Music & Arts",4,"No","No","No"
"Crispell, Marilyn","Contrasts: Live At Yoshi's","Music & Arts",4,"No","No","No"
"Crispell, Marilyn","Nothing Ever Was, Anyway","ECM",4,"No","No","No"
"Crispell, Marilyn","Selected Works: 83-86","Leo",6,"No","No","No"
"Crispell, Marilyn","Amaryllis","ECM",6,"No","No","No"
"Crispell, Marilyn","Storyteller","ECM",9,"No","No","No"
"Criss, Sonny","Portrait Of SC","OJC",1,"No","No","No"
"Criss, Sonny","Sonny's Dream","OJC",1,"No","Yes","Yes"
"Critchinson, John","Remove All Covers","Thirty Three",9,"No","No","No"
"Crocker, John","All Of Me","Timeless",9,"No","No","No"
"Crombie, Tony","Jazz At The Flamingo","Jasmine",9,"No","No","No"
"Crosby, Bob","BC 1937-1938","CDS",1,"No","No","No"
"Crosby, Bob","South Rampart Street Parade","MCA",2,"No","No","No"
"Crusaders","Golden Years","GRP",3,"No","No","No"
"Crusaders","Scratch","GRP",9,"No","No","No"
"Crusaders","Street Life","GRP",9,"No","No","No"
"Crusaders","Live In Japan","GRP",9,"No","No","No"
"Crusaders","Live At The Lighthouse","Pacific Jazz",10,"No","No","Yes"
"Cuadrado, Alexis","Metro","Fresh Sound",9,"No","No","No"
"Curson, Ted","New Thing & Blue Thing","Koch",5,"No","No","No"
"Curson, Ted","Tears For Dolphy","Black Lion",10,"No","No","Yes"
"Cyrille, Andrew","Nuba","Black Saint",2,"No","No","No"
"Cyrille, Andrew","Navigator","Soul Note",3,"No","No","Yes"
"Cyrille, Andrew","X-Man","Soul Note",4,"No","No","No"
"Cyrille, Andrew","Good To Go; Tribute to Bu","Soul Note",4,"No","No","No"
"Cyrille, Andrew","Ode To The Living Tree","Evidence",9,"No","No","No"
"D'Ambrosio, Meredith","It's Your Dance","Sunnyside",1,"No","No","No"
"D'Ambrosio, Meredith","Wishing On The Moon","Sunnyside",9,"No","No","No"
"D'Ambrosio, Meredith","Love Is Not A Game","Sunnyside",10,"No","No","Yes"
"Dameron, Tadd","Fontainebleau","OJC",10,"No","No","Yes"
"D'Andrea, Franco","Airegin","Red",2,"No","No","No"
"D'Andrea, Franco","Chromatic Phrygian","YVP",4,"No","No","No"
"Daniels, Eddie","Homecoming: Iridium","Ipo",9,"No","No","No"
"Danielsson, Lars","Poems","Dragon",1,"No","No","No"
"Danko, Harold","After The Rain","Steeplechase",4,"No","No","Yes"
"Danko, Harold","Tidal Breeze","Steeplechase",4,"No","No","No"
"Danko, Harold","Time Remembered","Steeplechase",9,"No","No","No"
"Dankworth, Jacqui","Detour Ahead","Candid",8,"No","No","No"
"Dankworth, John","Vintage Years","Sepia",10,"No","No","Yes"
"D'Anna, Stefano","Leapin' On","Splasch",2,"No","No","No"
"Dapogny, James","Original Jelly Roll Blues","Discovery",3,"No","No","No"
"Dato, Carlo Actis","Delhi Mambo","YVP",5,"No","No","No"
"Dato, Carlo Actis","Ankara Twist","Splasch",10,"No","No","Yes"
"Dauner, Wolfgang","Pas de Trois","Mood",2,"No","No","No"
"Davern, Kenny","Breezin' Along","Arbors",4,"No","No","Yes"
"Davidson, Lowell","LD Trio","ESP",10,"No","No","Yes"
"Davis, Eddie 'LJ'","Very Saxy","OJC",1,"No","Yes","Yes"
"Davis, Eddie 'LJ'","Tenor Scene","OJC",4,"No","No","No"
"Davis, Miles","Birth Of The Cool","Capitol",1,"No","No","Yes"
"Davis, Miles","Walkin'","OJC",1,"No","No","No"
"Davis, Miles","The Modern Jazz Giants","OJC",1,"No","No","No"
"Davis, Miles","Cookin'","OJC",1,"No","No","No"
"Davis, Miles","Relaxin'","OJC",1,"No","No","No"
"Davis, Miles","Workin'","OJC",1,"No","No","No"
"Davis, Miles","Steamin'","OJC",1,"No","No","No"
"Davis, Miles","Chronicle","Prestige",2,"No","No","No"
"Davis, Miles","Milestones","Columbia",1,"No","Yes","No"
"Davis, Miles","Miles Ahead","Columbia",1,"No","No","Yes"
"Davis, Miles","Porgy And Bess","Columbia",1,"No","No","No"
"Davis, Miles","L'Ascenseur Pour L'Echafaud","Philips",2,"No","No","No"
"Davis, Miles","Live At Newport","Columbia",4,"No","No","No"
"Davis, Miles","Kind Of Blue","Columbia",1,"Yes","Yes","Yes"
"Davis, Miles","Stockholm 1960 (with Coltrane)","Dragon",1,"No","No","No"
"Davis, Miles","Complete Columbia with Coltrane","Columbia",5,"No","No","No"
"Davis, Miles","Complete Columbia with Evans","Columbia",4,"Yes","No","No"
"Davis, Miles","Complete Blackhawk","Columbia",7,"No","No","No"
"Davis, Miles","Miles In Antibes","Columbia",1,"No","No","No"
"Davis, Miles","Complete Concert 1964","Columbia",2,"No","No","No"
"Davis, Miles","E.S.P.","Columbia",1,"No","No","No"
"Davis, Miles","Cookin' at Plugged Nickel","Columbia",1,"No","No","No"
"Davis, Miles","Miles Smiles","Columbia",2,"No","No","No"
"Davis, Miles","Complete Plugged Nickel","Columbia",3,"Yes","No","Yes"
"Davis, Miles","Highlights from PN","Columbia",4,"No","No","No"
"Davis, Miles","In A Silent Way","Columbia",2,"No","Yes","Yes"
"Davis, Miles","Essential MD","Columbia",6,"No","No","No"
"Davis, Miles","SoS/KoB/IIaSW","Columbia",5,"No","No","No"
"Davis, Miles","Bitches Brew","Columbia",2,"No","No","No"
"Davis, Miles","Jack Johnson","Columbia",2,"No","No","No"
"Davis, Miles","Live-Evil","Columbia",4,"No","No","No"
"Davis, Miles","Pangaea","Columbia",1,"No","No","No"
"Davis, Miles","Agharta","Columbia",7,"No","No","Yes"
"Davis, Miles","Aura","Columbia",1,"No","No","No"
"Davis, Miles","Panthalassa","Columbia",4,"No","No","No"
"Davis, Richard","One For Frederick","Hep",10,"No","No","Yes"
"Davis, Steve","Update","Criss Cross",9,"No","No","Yes"
"Davison, Wild Bill","Jazz On Saturday Aft V 1 & 2","Jazzology",10,"No","No","Yes"
"Dawkins, Ernest","Cape Town Shuffle","Delmark",7,"No","No","No"
"Day & Taxi","Material","Percaso",8,"No","No","No"
"Dean, Elton","Newsense","Slam",4,"No","No","Yes"
"Dean, Elton","Rumours Of An Incident","Slam",4,"No","No","No"
"Dean, Elton","Into The Nierika","Blueprint",7,"No","No","No"
"Dearie, Blossom","BD","Verve",10,"No","No","Yes"
"Debriano, Santi","Panamanics","Evidence",9,"No","No","No"
"DeFrancesco, Joey","Organic Vibes","Concord",9,"No","No","No"
"DeFranco, Buddy","Complete Verve BD/Clark","Mosaic",1,"No","No","No"
"DeFranco, Buddy","Wholly Cats","Lonehill",10,"No","No","Yes"
"DeJohnette, Jack","Earth Walk","Blue Note",1,"No","No","No"
"DeJohnette, Jack","Oneness","ECM",4,"No","No","No"
"DeJohnette, Jack","Special Edition","ECM",10,"No","No","Yes"
"Del Gatto, Lew","Katewalk","Naxos",6,"No","No","No"
"Delius, Tobias","The Heron","ICP",8,"No","No","No"
"Delius, Tobias","Pelikanismus","ICP",8,"No","No","No"
"Demierre, Jacques","Brainforest","Intakt",9,"No","No","No"
"De Paris, Wilbur","Uproarious / Rampart / New NO","Collectables",10,"No","No","Yes"
"Desmond, Paul","Easy Living","Bluebird",2,"No","No","No"
"Desmond, Paul","Two Of A Mind","Bluebird",3,"No","No","No"
"Desmond, Paul","Complete RCA 61-65","RCA",4,"No","No","No"
"Desmond, Paul","Glad To Be Unhappy","RCA",10,"No","No","Yes"
"Des Plantes, Ted","Midnight Stomp","Stomp Off",2,"No","No","No"
"Deuchar, Jimmy","Pal Jimmy","Jasmine",10,"No","No","Yes"
"Dick, Robert","Tambastics","Music & Arts",3,"No","No","No"
"Dick, Robert","3rd Stone From Sun","New World",2,"No","No","No"
"Dick, Robert","Worlds Of If","Leo",3,"No","No","No"
"Dick, Robert","Instinct","Bellaphon",5,"No","No","No"
"Dickenson, Vic","Septet","Vanguard",2,"No","No","No"
"Dickenson, Vic","Gentlemen Of Trombone","Storyville",2,"No","Yes","No"
"Dickenson, Vic","Breaks, Blues & Boogie","Topaz",4,"No","No","No"
"Dickenson, Vic","Nice Work","Vanguard",9,"No","Yes","No"
"Dickenson, Vic","Essential","Vanguard",9,"No","Yes","Yes"
"Dickerson, Walt","To My Queen","OJC",4,"No","No","Yes"
"D'Imperio, Danny","Blues For Philly Joe","VSOP",4,"No","No","No"
"Diorio, Joe","To Jobim With Love","Ram",7,"No","No","No"
"Ditmas, Bruce","What If","Postcards",3,"No","No","No"
"Dixon, Bill","November Nineteen Eighty One","Soul Note",3,"No","No","Yes"
"Dixon, Bill","Solo Works (Odyssey)","no label",7,"No","No","No"
"Dixon, Bill","Papyrus, Vol I","Soul Note",5,"No","No","No"
"Dixon, Bill","Vade Mecum I II","Soul Note",10,"No","No","Yes"
"Dodds, Baby","BD ()","American",3,"No","No","Yes"
"Dodds, Johnny","JD 26","Classics",1,"No","No","Yes"
"Dodds, Johnny","JD 27, 27-8","Classics",1,"No","No","No"
"Dodds, Johnny","Blue Clarinet Stomp","Bluebird",1,"No","No","No"
"Dodds, Johnny","JD & Jimmy Blythe","Timeless",2,"No","No","No"
"Dolphy, Eric","Far Cry","OJC",1,"No","No","Yes"
"Dolphy, Eric","Out To Lunch","Blue Note",1,"Yes","Yes","Yes"
"Dolphy, Eric","At The 5 Spot I II","Prestige",3,"No","No","No"
"Dolphy, Eric","Memorial Album","Prestige",3,"No","No","No"
"Dolphy, Eric","Complete Prestige","Prestige",4,"No","No","No"
"Domnerus, Arne","Swedish Rhapsody","Phontastic",4,"No","No","No"
"Domnerus, Arne","Face To Face","Dragon",5,"No","Yes","No"
"Domnerus, Arne","Pawnshop I â€“ IV","Proprius",8,"No","No","Yes"
"Domnerus, Arne","The Sheik","4 Leaf Clover",8,"No","No","No"
"Donaldson, Lou","Blues Walk","Blue Note",10,"No","No","Yes"
"Doran, Christy","Race The Time","MGB",4,"No","No","No"
"Doran, Christy","Triangulation","Leo",8,"No","No","No"
"Doran, Christy","Corporate Art","Winter",9,"No","No","No"
"Dorge, Pierre","Brikama","Steeplechase",2,"No","No","No"
"Dorham, Kenny","Midnight at CafÃ© Bohemia","Blue Note",6,"No","Yes","Yes"
"Dorough, Bob","Devil May Care","JVC",10,"No","No","Yes"
"Dorsey, Jimmy","Amapola","ASV",10,"No","No","Yes"
"Dorsey, Tommy","Best of TD & His Clambake 7","Retrieval",10,"No","No","Yes"
"Douglas, Dave","Constellations","Hat Art",3,"No","No","Yes"
"Douglas, Dave","In Our Lifetime","New World",3,"No","No","No"
"Douglas, Dave","Five","Soul Note",3,"No","No","No"
"Douglas, Dave","Charms Of The Night Sky","Winter",5,"No","No","No"
"Douglas, Dave","Convergence","Soul Note",5,"No","Yes","Yes"
"Douglas, Dave","Leap Of Faith","Arabesque",6,"No","No","No"
"Douglas, Dave","Freak In","Bluebird",7,"No","No","No"
"Douglas, Dave","Strange Liberation","RCA",7,"No","No","No"
"Douglas, Dave","Mountain Passages","Koch",8,"No","No","No"
"Douglas, Dave","Meaning & Mystery","Greenleaf",9,"No","No","No"
"Douglas, Dave","Live At Jazz Standard","Greenleaf",9,"No","No","No"
"Drake, Hamid","Emancipation Proclamation","Okka",7,"No","No","No"
"Dresser, Mark","Force Green","Soul Note",3,"No","No","No"
"Dresser, Mark","Duologues","Intrepid",6,"No","No","No"
"Dresser, Mark","Aquifer","Cryptogram",6,"No","No","No"
"Dresser, Mark","Unveil","Clean Feed",8,"No","No","Yes"
"Drew, Kenny","Trio/Quartet/Quintet","Riverside",7,"No","No","No"
"Drew, Kenny","Dark And Beautiful","Steeplechase",10,"No","No","Yes"
"Drew, Kenny Jr.","Third Phase","Jazz City",1,"No","No","No"
"Drew, Kenny Jr.","Secrets","TCB",5,"No","No","No"
"Drew, Kenny Jr.","Passionata","Arkadia",10,"No","No","Yes"
"Drummond, Billy","Dubai","Criss Cross",4,"No","No","No"
"Drummond, Ray","1 2 3 4","Arabesque",9,"No","No","No"
"Ducret, Marc","News From The Front","Winter",9,"No","No","No"
"Dunmall, Paul","Ghostly Thoughts","Hatology",4,"No","No","No"
"Dunmall, Paul","Bebop Starburst","Cuneiform",5,"No","No","No"
"Dunmall, Paul","Great Divide","Cuneiform",6,"No","No","Yes"
"Dunmall, Paul","Hour Glass","Emanem",7,"No","No","No"
"Dunmall, Paul","Rylickolum","Creative Imp",7,"No","No","No"
"Dunmall, Paul","Awareness Response","Emanem",7,"No","No","No"
"Dutch Swing College Band","Back In Time","Philips",7,"No","No","No"
"Dutch Swing College Band","Live In 1960","Philips",10,"No","No","Yes"
"Dyani, Johnny","Witchdoctor's Son","Steeplechase",10,"No","No","Yes"
"Eastern Rebellion","E R","Timeless",2,"No","No","No"
"Eastern Rebellion","Just One Of Those...","MusicMasters",3,"No","No","No"
"Eckstine, Billy","I Want To Talk About You","Xanadu",1,"No","No","No"
"Eckstine, Billy","No Cover, No Minimum","Roulette",1,"No","No","No"
"Eckstine, Billy","Everything I Have Is","Verve",2,"No","No","No"
"Eckstine, Billy","BE 1944-1946","Classics",10,"No","No","Yes"
"Edison, Harry 'Sweets'","Just Friends","Black & Blue",9,"No","No","Yes"
"Edwards, Teddy","Together Again","OJC",1,"No","No","No"
"Edwards, Teddy","Teddy's Ready","OJC",10,"No","No","Yes"
"Ehrlich, Marty","Pliant Plaint","Enja",1,"No","No","No"
"Ehrlich, Marty","New York Child","Enja",4,"No","No","No"
"Ehrlich, Marty","News On The Rail","Palmetto",9,"No","No","Yes"
"8 Bold Souls","Last Option","Thrill Jockey",5,"No","No","No"
"Eisenstadt, Harris","Fight Or Flight","Newsonic",9,"No","No","No"
"Eisenstadt, Harris","The Soul And Gone","482 Music",9,"No","No","No"
"Either Orchestra","Calculus Of Pleasure","Accurate",2,"No","No","Yes"
"Either Orchestra","The Brunt","Accurate",3,"No","No","No"
"Eldridge, Roy","Heckler's Hop","Hep",3,"No","Yes","No"
"Eldridge, Roy","Little Jazz","Verve",3,"No","No","No"
"Eldridge, Roy","Nifty Cat","New World",3,"No","No","No"
"Eldridge, Roy","Little Jazz: Trumpet Giant","Proper",8,"No","No","No"
"Eldridge, Roy","Big Sound Of Little Jazz","Topaz",10,"No","No","Yes"
"Elling, Kurt","The Messenger","Blue Note",4,"No","No","No"
"Elling, Kurt","Live In Chicago","Blue Note",6,"No","No","No"
"Elling, Kurt","Flirting With Twilight","Blue Note",6,"No","No","No"
"Elling, Kurt","Man In The Air","Blue Note",7,"No","No","Yes"
"Elling, Kurt","Nightmoves","Concord",9,"No","No","No"
"Ellington, Duke","DE 1927-1929","Classics",10,"No","No","Yes"
"Ellington, Duke","Brunswick 32-35 V. 3","Jazz Info",1,"No","No","No"
"Ellington, Duke","Swing 1930-38","CDS",1,"No","No","No"
"Ellington, Duke","DE 37 Vol. 1","Classics",10,"No","No","Yes"
"Ellington, Duke","DE 37 Vol. 2","Classics",2,"No","No","Yes"
"Ellington, Duke","DE 38 Vol. 1&2","Classics",2,"No","No","Yes"
"Ellington, Duke","D's Men: Small Grps V 1&2","Columbia",1,"No","No","No"
"Ellington, Duke","Blanton-Webster","RCA Bluebird",1,"Yes","No","No"
"Ellington, Duke","Fargo, Nd 11/7/40","VJC",1,"No","No","No"
"Ellington, Duke","Fargo 1940 Vol.1&2","Tax",1,"No","No","No"
"Ellington, Duke","Fargo: 60th Anniversary Edition","Storyville",6,"Yes","No","Yes"
"Ellington, Duke","DE 44-45, 45 Vol.2","Classics",4,"No","No","No"
"Ellington, Duke","Great Ellington Units","RCA Bluebird",1,"No","No","No"
"Ellington, Duke","Black, Brown And Beige","RCA Bluebird",1,"No","No","Yes"
"Ellington, Duke","Black, Brown And Beige","Columbia",5,"No","No","No"
"Ellington, Duke","At Newport","Columbia",1,"No","Yes","Yes"
"Ellington, Duke","Such Sweet Thunder","Columbia",2,"No","No","No"
"Ellington, Duke","Side By Side","Verve",2,"No","No","No"
"Ellington, Duke","Afro Bossa","Discovery",2,"No","No","No"
"Ellington, Duke","...Mother Called Him Bill","RCA",2,"No","No","No"
"Ellington, Duke","Back To Back","Verve",1,"No","No","No"
"Ellington, Duke","Blues In Orbit","Columbia",1,"No","No","No"
"Ellington, Duke","Afro-Eurasian Eclipse","OJC",1,"Yes","No","No"
"Ellington, Duke","The Far East Suite","Bluebird",1,"No","No","Yes"
"Ellington, Duke","Private Collection","Saja",1,"No","No","No"
"Ellington, Duke","V.1: Studio, Chicago 56","Saja",1,"No","No","No"
"Ellington, Duke","New Orleans Suite","Atlantic",2,"No","Yes","No"
"Ellington, Duke","Great Original Performances","JCDS",3,"No","No","No"
"Ellington, Duke","DE 39-40/40V1&2/40-41/41","Classics",3,"No","No","No"
"Ellington, Duke","Complete DE & World Famous","Hindsight",3,"No","No","No"
"Ellington, Duke","In A Mellotone ()","RCA",3,"No","No","No"
"Ellington, Duke","Early Ellington","GRP",6,"No","No","No"
"Ellington, Duke","The Duke","Columbia",5,"No","No","No"
"Ellington, Duke","Complete RCA 1927-1973","RCA",5,"No","No","No"
"Ellington, Duke","Tootin' Through The Roof","Naxos",7,"No","No","No"
"Ellington, Duke","Never No Lament","RCA",8,"No","Yes","Yes"
"Ellis, Don","Electric Bath","Columbia/GNP",3,"No","No","Yes"
"Ellis, Don","Tears of Joy","Wounded Bird",8,"No","No","No"
"Ellis, Herb","Nothin' But the Blues","Verve",3,"No","No","No"
"Ellis, John","Roots, Branches & Leaves","Fresh Sound",9,"No","No","Yes"
"Elman, Ziggy","ZE 1938-1939","Classics",10,"No","No","Yes"
"El'zabar, Khalil","3 Gentleman From Chicago","Moers",1,"No","No","No"
"El'zabar, Khalil","Dance With Ancestors","Chameleon",2,"No","No","No"
"El'zabar, Khalil","Freedom Jazz Dance","Delmark",5,"No","No","No"
"El'zabar, Khalil","River East Art Center","Delmark",8,"No","No","Yes"
"Emery, James","Standing On A Whale","Enja",4,"No","No","No"
"Emery, James","Spectral Domains","Enja",5,"No","No","No"
"Emery, James","Transformations","Between Lines",7,"No","No","Yes"
"Endressen, Sidsel","Merriewinkle","Jazzland",8,"No","No","No"
"Eneidi, Marco","Cherry Box","Eremite",8,"No","No","No"
"Ericson, Rolf","I Love You So","Amigo",4,"No","No","No"
"Ericson, Rolf","RE & American Stars","Dragon",10,"No","No","Yes"
"Erskine, Peter","Transition","Denon",1,"No","No","No"
"Ervin, Booker","Freedom Book","OJC",3,"No","No","No"
"Ervin, Booker","Booker N' Brass","Pacific Jazz",5,"No","No","No"
"Ervin, Booker","Tex Book Tenor","Blue Note",9,"No","No","No"
"Ervin, Booker","Lament For Booker Ervin","Enja",10,"No","No","Yes"
"Erwin, Pee Wee","Complete 50's ","Lonehill",10,"No","No","Yes"
"Escoude, Christian","Cookin' In Hell's Kitchen","Verve",3,"No","No","No"
"Escoude, Christian","In LA","Emarcy",4,"No","No","No"
"Eskelin, Ellery","Figure Of Speech","Soul Note",2,"No","No","No"
"Eskelin, Ellery","One Great Day","Hatology",4,"No","No","Yes"
"Eubanks, Kevin","Spirit Talk","Blue Note",3,"No","No","No"
"Eubanks, Robin","Dedication","Winter",7,"No","No","No"
"Eubanks, Robin","Live : Vol 1","Kindred",9,"No","No","No"
"Eureka Brass Band","NO Funeral & Parade ()","American",2,"No","No","Yes"
"Evans, Bill","Everybody Digs BE","OJC",1,"No","No","No"
"Evans, Bill","Portrait In Jazz","OJC",1,"No","No","No"
"Evans, Bill","Explorations","OJC",1,"No","No","No"
"Evans, Bill","Sunday At VV","OJC",1,"Yes","No","No"
"Evans, Bill","Waltz For Debby","OJC",1,"Yes","No","No"
"Evans, Bill","At The VV","Riverside",2,"No","No","No"
"Evans, Bill","How My Heart Sings","OJC",1,"No","No","No"
"Evans, Bill","Undercurrent","Blue Note",1,"No","No","No"
"Evans, Bill","Solo Sessions Vol. 1","Milestone",1,"No","No","No"
"Evans, Bill","Complete Riverside","Riverside",1,"No","No","No"
"Evans, Bill","Tony Bennett/ BE Album","OJC",1,"No","No","No"
"Evans, Bill","The Brilliant","Timeless",3,"No","No","No"
"Evans, Bill","Complete VV 1961","Riverside",7,"No","Yes","Yes"
"Evans, Bill","Conversations With Myself","Verve",10,"No","No","Yes"
"Evans, Bill (ts)","Moods Unlimited","Paddle Wheel",1,"No","No","No"
"Evans, Gil","Out Of The Cool","MCA",1,"No","Yes","Yes"
"Evans, Gil","Plays Jimi Hendrix","RCA",10,"No","No","Yes"
"Evans, Orrin","Listen To The Band","Criss Cross",6,"No","No","No"
"Evans, Peter","More Is More","Psi",9,"No","No","Yes"
"Evans, Peter","PE Quartet","Firehouse",9,"No","No","No"
"Farlow, Tal","TF: Jazz Masters 41","Verve",3,"No","No","No"
"Farlow, Tal","Swinging Guitar of TF","Verve",5,"No","No","Yes"
"Farmer, Art","The Art Farmer Quintet","OJC",1,"No","No","No"
"Farmer, Art","Portrait Of Art","OJC",3,"No","Yes","No"
"Farmer, Art","Modern Art","Blue Note",1,"No","No","No"
"Farmer, Art","Out Of The Past","Chess",4,"No","No","No"
"Farmer, Art","Blame It On My Youth","Contemporary",1,"Yes","No","Yes"
"Farmer, Art","Something To Live For","Contemporary",1,"No","No","No"
"Farmer, Art","PhD","Contemporary",1,"No","No","No"
"Farmer, Art","Art & Perception","Chess",9,"No","No","No"
"Farmer, Art","Many Faces Of AF","Gambit",9,"No","No","No"
"Farmer, Art","Meet The Jazztet","Universal",10,"No","No","Yes"
"Fasteau, Kali","Memoirs Of A Dream","Flying Note",9,"No","No","No"
"Favre, Pierre","Souffles","Intakt",4,"No","No","No"
"Favre, Pierre","European Chamber Ensemble","Intakt",7,"No","No","No"
"Favre, Pierre","Saxophones","Intakt",8,"No","No","No"
"Fedchock, John","NY Big Band","Reservoir",3,"No","No","No"
"Feldman, Mark","What Exit","ECM",9,"No","No","Yes"
"Feldman, Victor","The Arrival Of VF","OJC",1,"No","No","Yes"
"Fell, Simon","Compilation II","Bruce's",1,"No","No","No"
"Fell, Simon","Bogey's","Bruce's",1,"No","No","No"
"Fell, Simon","Foom! Foom!","Bruce's",2,"No","No","No"
"Fell, Simon","Horrors of Darmstadt","Shock",2,"No","No","No"
"Fell, Simon","Composition 12.5","Bruce's",6,"No","No","No"
"Fell, Simon","Composition 30","Bruce's",5,"No","No","No"
"Fell, Simon","13 Rectangles","Bruce's",9,"No","No","No"
"Ferber, Alan","The Compass","Fresh Sound",9,"No","No","No"
"Ferguson, Maynard","The Birdland Dreamband","Bluebird",1,"No","No","Yes"
"Ferguson, Maynard","Magnitude","Mainstream",1,"No","No","No"
"Fernandez, Agusti","Topos","Maya",9,"No","No","No"
"Fewell, Garrison","Blue Deeper Than Blues","Accurate",8,"No","No","No"
"Fewell, Garrison","Birdland Sessions","Koch",8,"No","No","No"
"Fields, Scott","Beckett","Clean Feed",9,"No","No","No"
"Fischer, Clare","Blues Trilogy","Discovery",1,"No","No","No"
"Fitzgerald, Ella","E Sings Arlen Vol. 1, 2","Polydor",1,"No","No","No"
"Fitzgerald, Ella","Pure Ella","MCA",2,"No","No","No"
"Fitzgerald, Ella","Rodgers & Hart Songbook V1","Verve",2,"No","No","No"
"Fitzgerald, Ella","Gershwin Songbook","Verve",1,"No","No","No"
"Fitzgerald, Ella","Cole Porter Songbook 1&2","Verve",1,"No","Yes","Yes"
